IP address,Port,Epoch,JARM fingerprint,AS number,First seen
185.244.166[.]137,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,200303,2022-01-25 17:11:03 UTC
185.168.130[.]138,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,49720,2022-01-25 17:11:03 UTC
85.25.120[.]45,8080,5,,8972,2022-01-25 17:11:03 UTC
69.197.160[.]180,8080,4,,32097,2022-01-25 07:18:07 UTC
51.77.82[.]125,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-01-25 07:18:07 UTC
185.157.82[.]211,8080,4,,42927,2022-01-24 17:50:23 UTC
164.68.99[.]3,8080,4,,51167,2022-01-24 17:50:23 UTC
162.243.175[.]63,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-01-24 17:50:23 UTC
212.24.98[.]99,8080,4,,212531,2022-01-24 17:50:23 UTC
45.80.148[.]200,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,204641,2022-01-24 17:50:23 UTC
80.211.3[.]13,8080,4,,31034,2022-01-24 17:50:23 UTC
191.252.103[.]16,80,5,,27715,2022-01-21 10:55:38 UTC
207.148.81[.]119,8080,5,,20473,2022-01-21 10:55:38 UTC
37.44.244[.]177,8080,5,,47583,2022-01-21 10:55:38 UTC
210.57.209[.]142,8080,5,,38142,2022-01-21 10:55:38 UTC
37.59.209[.]141,8080,5,,16276,2022-01-21 10:55:38 UTC
159.69.237[.]188,443,5,,24940,2022-01-21 10:55:38 UTC
195.154.146[.]35,443,5,,12876,2022-01-21 10:55:38 UTC
104.131.62[.]48,8080,5,,14061,2022-01-21 10:55:38 UTC
54.38.242[.]185,443,5,05d10d20d21d20d05c05d10d05d20d74fcf6501ae7a92319e575bfafd2a827,16276,2022-01-21 10:55:38 UTC
116.124.128[.]206,8080,5,,9318,2022-01-21 10:55:38 UTC
195.77.239[.]39,8080,5,,3352,2022-01-21 10:55:38 UTC
85.214.67[.]203,8080,5,,6724,2022-01-21 10:55:38 UTC
190.90.233[.]66,443,5,,262589,2022-01-21 10:55:38 UTC
185.148.168[.]15,8080,5,,24679,2022-01-21 10:55:38 UTC
185.148.168[.]220,8080,5,,24679,2022-01-21 10:55:38 UTC
142.4.219[.]173,8080,5,,16276,2022-01-21 10:55:38 UTC
168.197.250[.]14,80,5,,264776,2022-01-21 10:55:38 UTC
128.199.192[.]135,8080,5,,14061,2022-01-21 10:55:38 UTC
78.46.73[.]125,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,24940,2022-01-21 10:55:38 UTC
66.42.57[.]149,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,20473,2022-01-21 10:55:38 UTC
78.47.204[.]80,443,5,,24940,2022-01-21 10:55:38 UTC
62.171.178[.]147,8080,5,,51167,2022-01-21 10:55:38 UTC
54.37.228[.]122,443,5,21d19d00000000021c21d19d21d21db2e1191a3715fa469c667680e6cfab7f,16276,2022-01-21 10:55:38 UTC
45.138.98[.]34,80,5,,9009,2022-01-21 10:55:38 UTC
69.16.218[.]101,8080,5,,32244,2022-01-21 10:55:38 UTC
51.210.242[.]234,8080,5,,16276,2022-01-21 10:55:38 UTC
217.182.143[.]207,443,"5,4",2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-01-11 11:09:09 UTC
131.100.24[.]231,80,4,,61635,2022-01-11 11:09:09 UTC
209.59.138[.]75,7080,4,,32244,2022-01-11 11:09:09 UTC
103.8.26[.]103,8080,4,,132241,2022-01-11 11:09:09 UTC
51.38.71[.]0,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-01-11 11:09:09 UTC
212.237.17[.]99,8080,4,,31034,2022-01-11 11:09:09 UTC
79.172.212[.]216,8080,4,,61998,2022-01-11 11:09:09 UTC
207.38.84[.]195,8080,4,,30083,2022-01-11 11:09:09 UTC
104.168.155[.]129,8080,4,,54290,2022-01-11 11:09:09 UTC
178.79.147[.]66,8080,4,,63949,2022-01-11 11:09:09 UTC
46.55.222[.]11,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,51582,2022-01-11 11:09:09 UTC
103.8.26[.]102,8080,4,,132241,2022-01-11 11:09:09 UTC
192.254.71[.]210,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,31863,2022-01-11 11:09:09 UTC
45.176.232[.]124,443,4,,267869,2022-01-11 11:09:09 UTC
