Type,Epoch,IP,Port,Download timestamp,File SHA1,Conceptual SHA1
MailPassView,5,196.44.98.190,8080,2022-06-03 05:53:45,d9a026b2af6d85d5017845991fd22da01a0037db,9f6a072ad0c68a46a1290b08344df7dc64ce8fd7
OutlookStealer,5,104.248.225.227,8080,2022-06-03 05:21:41,f56f5e56b0e82f3254a76a4b51a5e253bafca003,94fe3291260be069d34eec73fb3ee1a4dff5a6ec
OutlookStealer,5,104.248.225.227,8080,2022-06-03 05:03:44,40518b9537cc7f7d24b7a5b6d7293e60c6cb3798,fa4417e18d37edf22cc71b055c69917c8b903b4a
WebBrowserPassView,5,104.248.225.227,8080,2022-06-03 05:20:44,331aea8f66589c5f691879271c36be067894faf0,914fa8527cea6e32d21bbb8d4f95eb61e8261c3d
MailPassView,5,196.44.98.190,8080,2022-06-03 05:53:56,07c1864fbe2803e0be4ecebff1f8380c2964b5f8,9f6a072ad0c68a46a1290b08344df7dc64ce8fd7
Core,5,68.183.91.111,8080,2022-06-03 05:01:49,0915e7139b8eb5d06e994cdbba460898283cd30b,ba674703143a5e70cf72058496a7fe3edf6613c3
Spam,5,202.29.239.162,443,2022-06-03 05:39:59,472a3d51e88810b2e826abad1ae3d95cc274eaf3,88207be659d2948416830cf7cffeba50e45ac919
WebBrowserPassView,5,196.44.98.190,8080,2022-06-03 05:21:01,7d175205be8b92e0b599a2611a9eb4404333fb85,914fa8527cea6e32d21bbb8d4f95eb61e8261c3d
MailPassView,5,196.44.98.190,8080,2022-06-03 05:39:08,982648e2a0406e5b579bf0752c50b2fddf431668,9f6a072ad0c68a46a1290b08344df7dc64ce8fd7
OutlookStealer,5,196.44.98.190,8080,2022-06-03 03:31:39,e7c24fbf6e418312a3e890a0457f3f05de76b346,94fe3291260be069d34eec73fb3ee1a4dff5a6ec
OutlookStealer,5,196.44.98.190,8080,2022-06-03 03:14:18,62f73ae79735863ec9722f41f3b72b9af8f34769,fa4417e18d37edf22cc71b055c69917c8b903b4a
OutlookStealer,5,196.44.98.190,8080,2022-06-03 05:03:26,d3938c44c79ffe9b2860b6e8bf68ff821f977a90,fa4417e18d37edf22cc71b055c69917c8b903b4a
