IP address,Port,Epoch,JARM fingerprint,AS number,First seen
172.105.70[.]96,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,63949,2022-05-16 10:52:34 UTC
104.248.225[.]227,8080,5,,14061,2022-05-16 08:04:00 UTC
103.56.149[.]105,8080,5,,55688,2022-05-16 08:04:00 UTC
110.235.83[.]107,7080,5,,9269,2022-05-16 08:04:00 UTC
68.183.91[.]111,8080,5,,14061,2022-05-16 08:04:00 UTC
23.239.0[.]12,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,63949,2022-05-11 18:21:00 UTC
163.44.196[.]120,8080,4,,135161,2022-05-11 16:44:12 UTC
102.222.215[.]74,443,4,,328671,2022-05-11 16:44:12 UTC
150.95.66[.]124,8080,4,,135161,2022-05-11 16:44:12 UTC
213.241.20[.]155,443,4,,12741,2022-05-11 16:44:12 UTC
63.142.250[.]212,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,394727,2022-05-11 16:44:12 UTC
162.241.79[.]26,8080,4,,46606,2022-05-06 08:29:56 UTC
139.180.205[.]161,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,20473,2022-04-29 13:00:18 UTC
209.15.236[.]39,8080,4,,13768,2022-04-29 13:00:18 UTC
79.137.35[.]198,8080,4,,16276,2022-04-29 10:42:34 UTC
176.31.73[.]90,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-04-29 07:51:23 UTC
45.76.159[.]214,8080,4,,20473,2022-04-29 07:51:23 UTC
77.81.247[.]144,8080,4,,60781,2022-04-29 07:51:23 UTC
85.214.93[.]93,8080,5,,6724,2022-04-27 07:24:38 UTC
217.182.78[.]224,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-04-27 06:02:21 UTC
164.52.194[.]45,8080,5,,132420,2022-04-23 03:40:38 UTC
149.56.131[.]28,8080,4,,16276,2022-04-20 12:08:54 UTC
185.4.135[.]165,8080,4,,199246,2022-04-20 12:08:54 UTC
209.97.163[.]214,443,4,,14061,2022-04-20 12:08:54 UTC
27.54.89[.]58,8080,4,,38719,2022-04-20 12:08:54 UTC
45.235.8[.]30,8080,4,,267405,2022-04-20 12:08:54 UTC
138.197.147[.]101,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-04-20 12:08:54 UTC
104.168.154[.]79,8080,4,,54290,2022-04-20 12:08:54 UTC
138.201.142[.]73,8080,4,,24940,2022-04-20 12:08:54 UTC
134.195.212[.]50,7080,4,,398375,2022-04-20 12:08:54 UTC
91.207.28[.]33,8080,4,,39819,2022-03-30 10:12:26 UTC
68.183.94[.]239,80,4,,14061,2022-03-30 10:12:26 UTC
175.126.176[.]79,8080,5,,9318,2022-03-30 07:09:31 UTC
51.68.141[.]164,8080,5,,16276,2022-03-30 07:09:31 UTC
5.189.160[.]61,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,51167,2022-03-30 07:09:31 UTC
94.177.178[.]26,8080,5,,31034,2022-03-30 07:09:31 UTC
159.203.141[.]156,8080,4,,14061,2022-03-29 10:28:36 UTC
104.131.11[.]205,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-03-29 09:51:08 UTC
206.189.28[.]199,8080,4,,14061,2022-03-27 23:01:34 UTC
103.132.242[.]26,8080,4,,45117,2022-03-27 23:01:34 UTC
160.16.142[.]56,8080,4,,9370,2022-03-27 23:01:34 UTC
172.104.251[.]154,8080,4,,63949,2022-03-27 23:01:34 UTC
103.70.28[.]102,8080,4,,63761,2022-03-27 23:01:34 UTC
183.111.227[.]137,8080,4,,4766,2022-03-27 23:01:34 UTC
187.84.80[.]182,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,52850,2022-03-27 23:01:34 UTC
138.197.109[.]175,8080,4,,14061,2022-03-27 23:01:34 UTC
79.143.187[.]147,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,51167,2022-03-27 23:01:34 UTC
45.176.232[.]125,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,267869,2022-03-27 23:01:34 UTC
201.94.166[.]162,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,28573,2022-03-27 22:57:10 UTC
167.172.253[.]162,8080,4,,14061,2022-03-27 22:57:10 UTC
134.122.66[.]193,8080,4,,14061,2022-03-27 22:57:10 UTC
216.120.236[.]62,8080,4,,23535,2022-03-27 22:57:10 UTC
189.232.46[.]161,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,8151,2022-03-27 22:57:10 UTC
70.36.102[.]35,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,22439,2022-03-24 05:12:53 UTC
92.240.254[.]110,8080,4,,29405,2022-03-24 05:12:53 UTC
202.29.239[.]162,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,4621,2022-03-23 08:06:12 UTC
54.38.143[.]246,7080,5,,16276,2022-03-23 08:06:12 UTC
119.59.125[.]140,8080,5,,56067,2022-03-23 08:06:12 UTC
1.234.65[.]61,7080,5,,9318,2022-03-23 08:06:12 UTC
51.91.76[.]89,8080,4,,16276,2022-03-22 23:28:39 UTC
173.254.208[.]91,8080,4,,8100,2022-03-22 23:28:39 UTC
36.67.23[.]59,443,5,,7713,2022-03-18 14:05:52 UTC
103.133.214[.]242,8080,5,,133643,2022-03-18 14:05:52 UTC
188.166.229[.]148,443,5,29d29d15d29d29d00042d42d0000005fd00fabd213a5ac89229012f70afd5c,14061,2022-03-18 14:05:52 UTC
80.211.107[.]116,8080,5,,31034,2022-03-18 14:05:52 UTC
209.250.246[.]206,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,20473,2022-03-16 09:17:35 UTC
1.234.21[.]73,7080,4,,9318,2022-03-16 09:17:35 UTC
206.188.212[.]92,8080,4,,19871,2022-03-16 09:17:35 UTC
149.56.128[.]192,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,16276,2022-03-16 09:17:35 UTC
120.50.40[.]183,80,4,,17547,2022-03-16 09:17:35 UTC
160.16.218[.]63,8080,4,,9370,2022-03-16 09:17:35 UTC
202.28.34[.]99,8080,5,,9562,2022-03-15 21:50:26 UTC
202.134.4[.]210,7080,5,,7713,2022-03-15 21:50:26 UTC
103.82.248[.]59,7080,5,,63989,2022-03-15 21:50:26 UTC
165.22.61[.]235,443,5,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,14061,2022-03-15 21:50:26 UTC
121.78.112[.]42,8080,5,,17589,2022-03-15 21:50:26 UTC
216.10.251[.]121,8080,5,,394695,2022-03-15 21:50:26 UTC
2.58.16[.]87,8080,5,,64421,2022-03-15 21:50:26 UTC
72.15.201[.]15,8080,4,,13649,2022-03-14 19:09:15 UTC
103.43.46[.]182,443,4,2ad2ad0002ad2ad0002ad2ad2ad2ade1a3c0d7ca6ad8388057924be83dfc6a,58397,2022-03-14 19:09:15 UTC
101.50.0[.]91,8080,4,,55688,2022-03-14 19:09:15 UTC
167.99.115[.]35,8080,4,,14061,2022-03-14 19:09:15 UTC
119.193.124[.]41,7080,4,,4766,2022-03-14 19:09:15 UTC
217.182.25[.]250,8080,4,,16276,2022-03-14 19:09:15 UTC
195.201.151[.]129,8080,4,,24940,2022-03-14 19:09:15 UTC
